,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108,78.99420166,87.31639862,0,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244
19,64709,Lennox Elementary,Los Angeles,KK-08,6880,303.0299988,21.28240013,94.97119904,960,5064.615723,7.021999836,77.0058136,619.0999756,620.5
31,68379,San Ysidro Elementary,San Diego,KK-08,4142,201,35.5625,81.50650024,569,5342.233398,6.612999916,80.42008972,620.4000244,628.7000122
33,64816,Mountain View Elementary,Los Angeles,KK-08,10012,464.8999939,29.76390076,91.59339905,721,5036.458984,8.126615524,65.12185669,620.7999878,629.7999878
36,64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.6800003,19.15169907,84.43379974,177,5272.191895,11.33250046,35.46537018,625.4000244,628.2000122
46,65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53,8.218299866,62.13019943,175,4359.520996,7.331999779,30.28339958,630.2000122,629.4000244
47,69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,5645.495605,12.5815773,49.8645668,629.5,631.2000122
50,69450,Franklin-McKinley Elementary,Santa Clara,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,5257.996582,11.78499985,52.80478668,628.5,632.5999756
51,64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.94509888,79.51200104,786,5016.692383,14.06200027,44.08506012,628.4000244,633.7000122
54,69120,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,10625,521.4699707,7.497499943,77.52559662,896,5615.441895,12.30179977,50.39059067,629.5999756,634.2000122
55,65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799866,18.54809952,61.73820114,560,5245.439941,15.40407085,31.07257843,634.2000122,629.7000122
56,64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105,20.92740059,52.94350052,202,4838.175293,13.76200008,18.26123238,633.5,630.5
57,64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499939,28.34250069,81.11650085,480,5367.988281,14.18400002,34.70020676,631.4000244,633
58,67421,Robla Elementary,Sacramento,KK-06,2253,112.6500015,43.49760056,84.55390167,196,5526.236816,8.864999771,33.28894806,637.5,627
62,67397,North Sacramento Elementary,Sacramento,KK-06,5138,290.7749939,58.75220108,84.99900055,560,5606.781738,10.90564251,32.98949051,630.2999878,635.7999878
63,66423,Anaheim Elementary,Orange,KK-06,20927,953.5,10.91139984,82.39260101,1048,4969.180664,13.40062523,58.21665573,629.5999756,636.7000122
67,65037,South Whittier Elementary,Los Angeles,KK-08,4340,209.8399963,17.70260048,93.92269897,284,5181.57959,14.60162544,31.19815636,631.9000244,636.2000122
69,68221,National Elementary,San Diego,KK-06,6639,304.730011,26.84140015,100,505,5339.391113,8.423000336,58.08103561,631.5,636.7000122
72,64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067,21.25880051,68.39640045,273,4826.666016,13.7305994,14.4291935,637.7000122,631.0999756
75,69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55,14.15439987,86.02940369,107,4136.250977,6.982999802,64.24632263,631.0999756,638.7000122
88,64501,El Monte City Elementary,Los Angeles,KK-08,11629,546.2999878,25.37940025,83.873703,1015,5100.202148,9.428894997,59.0334549,632.4000244,641.4000244
91,67322,Elverta Joint Elementary,Sacramento,KK-08,417,23,19.90410042,46.04320145,27,5349.367676,11.82999992,0.959232628,638,636.2000122
93,69542,Luther Burbank Elementary,Santa Clara,KK-08,457,24.39999962,16.81609917,67.71299744,50,6462.12793,19.70700073,38.51203537,644.9000244,630.4000244
97,65151,Wilsona Elementary,Los Angeles,KK-08,1841,95,25.25799942,64.74739838,315,6107.106445,13.76200008,19.39163589,640.4000244,636
100,64717,Little Lake City Elementary,Los Angeles,KK-08,5112,246.8999939,10.69120026,59.7234993,383,5157.784668,11.56920052,28.67762184,638.5999756,638.0999756
107,64857,Palmdale Elementary,Los Angeles,KK-08,19402,846.3800049,20.52370071,51.24209976,1182,4906.22998,14.12766743,18.43624496,641.7000122,637.7999878
112,64667,Lancaster Elementary,Los Angeles,KK-08,13668,648.4099731,28.1753006,56.29940033,1321,5159.21875,14.22672749,9.8990345,640.4000244,639.9000244
114,66589,Magnolia Elementary,Orange,KK-06,6518,332.1000061,12.27910042,71.02380371,499,5172.019531,14.24290085,43.4949379,638.5,643
116,69617,Mt. Pleasant Elementary,Santa Clara,KK-08,2911,139.4700012,11.92850018,52.9734993,281,5220.370117,15.96800041,39.02438736,640.4000244,641.7999878
118,68395,South Bay Union Elementary,San Diego,KK-06,10218,508.75,17.42020035,70.80639648,1435,5518.702148,10.6024704,41.13329315,638.5999756,644.2999878
128,64550,Garvey Elementary,Los Angeles,KK-08,7114,332.8399963,34.59420013,82.57219696,680,4925.659668,10.23966694,45.03795242,638.9000244,647.9000244
140,67405,Rio Linda Union Elementary,Sacramento,KK-06,10337,540.0499878,37.22689819,58.54539871,1268,5456.197266,12.34300041,12.35368061,646,643.0999756
146,68205,Lemon Grove Elementary,San Diego,KK-08,4612,232.9700012,17.47610092,65.91500092,601,5124.836426,12.82699966,16.65221214,647.7000122,643.4000244
151,67280,Arcohe Union Elementary,Sacramento,KK-08,519,26,16.76300049,37.95759964,65,4613.1875,15.13099957,1.92678237,650.9000244,641.5
156,66456,Buena Park Elementary,Orange,KK-08,5620,267,10.30949974,55.09389877,316,5002.838867,15.05137539,36.17437744,644,649.4000244
157,66746,Westminster Elementary,Orange,KK-08,9775,484.5,13.04300022,62.50389862,1218,5337.625488,15.41317654,44.97186661,645.5999756,648.2000122
160,68023,Chula Vista Elementary,San Diego,KK-06,21338,1051.579956,13.22719955,45.99499893,2889,5123.474121,14.29829979,34.33779907,645,649.5
164,68098,Escondido Union Elementary,San Diego,KK-08,18255,903.7600098,11.22169971,58.53310013,2001,5081.169922,15.2937994,39.5946312,645,651
165,64485,East Whittier City Elementary,Los Angeles,KK-08,8787,410.9100037,10.02270031,32.48300171,1058,5144.993652,15.53292847,21.66837311,648,648.4000244
168,68437,Vallecitos Elementary,San Diego,KK-08,235,13.69999981,6.808499813,67.23400116,51,5621.687988,16.62299919,39.57446671,643.4000244,654
170,66696,Savanna Elementary,Orange,KK-06,2409,108.6600037,8.151499748,52.12020111,354,5100.975586,14.25857162,27.52179146,646,652.2999878
191,66506,Fullerton Elementary,Orange,KK-08,12567,546.0499878,7.623099804,40.3995018,1099,4603.659668,17.82299995,27.54038239,651.5999756,652.5999756
193,69278,Santa Barbara Elementary,Santa Barbara,KK-08,6201,339.1000061,7.179599762,47.70249939,634,5215.943848,19.58963585,47.87937546,650.9000244,653.7000122
198,68155,Jamul-Dulzura Union Elementary,San Diego,KK-08,1221,61.59999847,4.34070015,25.3071003,250,5169.814941,19.02599907,7.289107323,656.7999878,648.9000244
202,69724,Whisman Elementary,Santa Clara,KK-08,1678,88.26999664,5.482699871,38.20019913,254,6306.487305,20.77000046,28.24791336,655.5999756,651.5
208,64931,Rosemead Elementary,Los Angeles,KK-08,3272,150,24.02199936,76.77259827,374,4825.59082,9.986000061,31.20415497,651.4000244,656.7999878
212,67348,Galt Joint Union Elementary,Sacramento,KK-08,3669,201.9700012,11.35890007,41.05459976,500,4899.239746,13.22500038,24.25728989,652.7000122,656.5
214,68189,Lakeside Union Elementary,San Diego,KK-08,4928,229.1999969,8.541999817,25.88850021,618,5139.9375,14.62300014,5.92532444,653.5,656.2000122
220,69377,Berryessa Union Elementary,Santa Clara,KK-08,8735,408.2000122,7.496600151,21.34339905,1120,5397.161621,18.63059998,32.70749664,655.4000244,655.2000122
235,67991,Cajon Valley Union Elementary,San Diego,KK-08,19294,924.5700073,18.93190002,50.97079849,2401,5280.023438,15.68465424,16.66321182,657.5999756,656.4000244
236,69393,Campbell Union Elementary,Santa Clara,KK-08,7661,386.4200134,7.805799961,32.13679886,1158,5433.339844,23.48374939,21.95535851,657.2999878,656.7000122
243,66472,Centralia Elementary,Orange,KK-06,5205,242.5,8.318900108,37.29109955,474,4954.466309,15.74991703,22.93948174,655.0999756,660.5
245,65169,Wiseburn Elementary,Los Angeles,KK-08,1712,81.27999878,5.373799801,32.65190125,122,5179.411133,14.06200027,9.871495247,657,659
249,69625,Oak Grove Elementary,Santa Clara,KK-08,11855,588.8400269,9.015800476,32.76549911,1507,5486.029785,17.43519974,20.72543144,654.9000244,663.2000122
251,64345,Castaic Union Elementary,Los Angeles,KK-08,2295,103,4.039500237,31.3708992,224,4631.243652,14.60299969,13.98692894,658.2999878,660.4000244
253,69138,Buellton Union Elementary,Santa Barbara,KK-08,579,27.79999924,1.5,31.5,60,4600.606445,16.66900063,20.03454208,660,658.7999878
261,65102,Westside Union Elementary,Los Angeles,KK-08,6312,308.6799927,9.837900162,22.69300079,496,4708.625,16.98662567,3.121039391,662.0999756,659.7999878
264,69435,Evergreen Elementary,Santa Clara,KK-08,11885,549.8400269,10.19769955,30.44169998,1790,4929.393066,16.47331238,29.12074089,659.0999756,664.0999756
274,64626,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,KK-08,433,22,9.336099625,25.10370064,50,5743.597168,15.50599957,1.385681391,665.4000244,659.5
275,69591,Mountain View Elementary,Santa Clara,KK-08,3186,164.3099976,5.45389986,44.39070129,411,5702.705078,22.84140015,35.34212112,663.5,661.5
276,65045,Sulphur Springs Union Elementary,Los Angeles,KK-06,5010,239.3999939,5.298900127,27.35449982,576,4802.152832,19.82312584,9.64071846,661.7000122,663.4000244
296,66613,Ocean View Elementary,Orange,KK-08,9850,489.2999878,3.335000038,30.64369965,1113,5081.455566,20.87574959,18.55837631,663.7000122,665.7999878
299,69195,Goleta Union Elementary,Santa Barbara,KK-06,4521,236.5800018,3.705199957,31.08279991,494,5427.548828,16.75780106,32.07255173,666.7999878,663.4000244
302,69690,Sunnyvale Elementary,Santa Clara,KK-08,6022,286.7999878,6.394999981,36.0007019,756,5726.146484,22.09600067,27.66522789,663.9000244,667.4000244
303,69179,College Elementary,Santa Barbara,KK-08,670,33.5,0.416099995,13.8696003,47,5003.870117,22.84199905,12.53731441,670.2999878,661.5
304,68197,La Mesa-Spring Valley,San Diego,KK-08,14708,700.9400024,13.53009987,45.72340012,1962,4969.51123,18.31987572,12.68017483,664.5,667.4000244
305,66530,Huntington Beach City Elementary,Orange,KK-08,6601,305,1.196799994,15.08860016,706,4747.295898,25.03000069,6.908044338,668,664
306,69336,Solvang Elementary,Santa Barbara,KK-08,675,33.70000076,0,31.8519001,87,4543.305176,21.95700073,14.96296215,668.7000122,663.4000244
312,68361,Santee Elementary,San Diego,KK-08,8432,360.5,6.392300129,22.98390007,0,5397.689453,14.09766674,4.969165325,663.7000122,669.5
318,67967,Alpine Union Elementary,San Diego,KK-08,2272,108.75,4.049300194,16.06509972,307,5182.365723,17.33200073,1.32042253,667.7000122,666.5999756
323,69575,Moreland Elementary,Santa Clara,KK-08,4632,245.1799927,7.037000179,23.6420002,637,5666.713867,20.46999931,17.85405922,669.4000244,666.5999756
326,68163,Julian Union Elementary,San Diego,KK-08,451,25,8.647500038,11.7517004,75,5700.402344,16.32099915,3.991130829,672.7000122,664.5
327,68007,Cardiff Elementary,San Diego,KK-06,900,50.75,2.101799965,24.3362999,145,5191.834473,21.96699905,20.66666603,668.7999878,668.5
329,67975,Bonsall Union Elementary,San Diego,KK-08,1457,73.12999725,5.982299805,42.9640007,0,5627.527832,19.99699974,27.45367241,666.2000122,671.5999756
330,66480,Cypress Elementary,Orange,KK-06,4734,232.75,2.607800007,19.37249947,586,4922.939941,18.82723045,10.85762596,665.5,672.4000244
331,64766,Lowell Joint Elementary,Los Angeles,KK-08,3303,146.5,4.662399769,16.95429993,379,4969.380859,18.1186657,5.025733948,666.0999756,672.0999756
332,64832,Newhall Elementary,Los Angeles,KK-06,6055,286.9200134,5.613399982,30.08510017,540,4829.717285,23.66737556,14.23616886,668.9000244,669.7000122
334,69385,Cambrian Elementary,Santa Clara,KK-08,2801,139.3000031,5.033899784,23.09889984,615,5205.941895,20.54599953,2.070688963,673.2999878,665.4000244
337,68049,Dehesa Elementary,San Diego,KK-06,188,9,6.382999897,36.70209885,41,6002.071777,18.79899979,4.787234306,673.2000122,666.5
340,69708,Union Elementary,Santa Clara,KK-08,4925,253.8959961,3.821099997,12.17479992,753,5287.35498,21.63172722,3.593908548,672.7999878,668.5999756
341,66498,Fountain Valley Elementary,Orange,KK-08,6257,288.6300049,2.163500071,15.51280022,930,4889.47998,21.09575081,8.726226807,671.2000122,671.2999878
347,64998,Saugus Union Elementary,Los Angeles,KK-06,8529,407.7000122,2.192500114,11.70129967,834,4715.445801,20.73905563,3.705006361,668.9000244,674.5999756
362,68353,San Pasqual Union Elementary,San Diego,KK-08,379,23.10000038,2.902400017,22.16360092,29,5133.827148,15.18000031,22.69129372,670.5,676.5999756
376,68080,Encinitas Union Elementary,San Diego,KK-06,5259,262.230011,2.395900011,19.09110069,701,5281.708984,23.80609894,15.05989742,679,678.5999756
378,69492,Lakeside Joint Elementary,Santa Clara,KK-06,151,8.899999619,2.648999929,8.60929966,31,6429.257324,36.17399979,2.649006605,676.7999878,682.2000122
379,64600,Hermosa Beach City Elementary,Los Angeles,KK-08,946,49.16999817,2.17840004,6.535299778,310,5387.458984,33.45500183,1.47991538,683.0999756,676.2000122
383,69500,Loma Prieta Joint Union Elemen,Santa Clara,KK-08,738,39.70199966,0,0.67750001,220,5390.118164,36.17399979,0.54200542,684.2000122,676.7000122
388,69104,Ballard Elementary,Santa Barbara,KK-06,134,6,0.746299982,3.731300116,27,5094.958984,21.95700073,2.238806009,681.7999878,682.5
397,69211,Hope Elementary,Santa Barbara,KK-06,1254,57,1.582299948,12.5,0,5208.226074,25.06299973,10.12759113,686.2000122,683.7000122
399,69419,Cupertino Union Elementary,Santa Clara,KK-08,15228,708.8300171,1.715399981,4.690899849,2232,4962.736816,27.47521591,8.648542404,683.0999756,690.2999878
401,69526,Los Gatos Union Elementary,Santa Clara,KK-08,2768,141.3999939,0.448100001,2.792099953,540,5566.467773,34.15950012,1.589595318,691.5999756,686.5999756
402,69252,Montecito Union Elementary,Santa Barbara,KK-06,535,31,0.079999998,0.720000029,84,7039.949219,43.22999954,1.495327115,693.5,688.5999756
403,68387,Solana Beach Elementary,San Diego,KK-06,2542,146.3000031,0.826099992,9.677399635,404,6604.063965,27.94775009,10.38552284,687.7000122,695
408,68056,Del Mar Union Elementary,San Diego,KK-06,2106,115.3000031,1.709400058,2.611599922,300,5838.171875,38.62857056,2.421652317,695.0999756,695.2999878
413,69161,Cold Spring Elementary,Santa Barbara,KK-06,220,12.32999992,0.45449999,0,22,6500.449707,43.22999954,1.363636374,693.2999878,703.5999756
415,69682,Saratoga Union Elementary,Santa Clara,KK-08,2341,124.0899963,0.170900002,0.59799999,286,5392.638672,40.40200043,2.050405741,698.9000244,701.7000122
417,69518,Los Altos Elementary,Santa Clara,KK-08,3724,208.4799957,1.074100018,1.503800035,721,5741.462891,41.73410797,4.726100922,704,709.5
